pid_integral,pid_derivative,pid_proportional,integral_sum,motor_target,gyro_offset,gyro_value,motors_enabled
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.38,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.39,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.35,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.39,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.41,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.41,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-100.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-98.26,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-80.83,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-66.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-41.05,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-36.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-21.65,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-11.9,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-13.12,True
81.0,11.0,29.0,-9.9,-50.0,2.0,-0.81,True
81.0,11.0,29.0,-9.7,-50.0,2.0,12.14,True
81.0,11.0,29.0,-9.3,-50.0,2.0,14.24,True
81.0,11.0,29.0,-8.8,-50.0,2.0,15.04,True
81.0,11.0,29.0,-8.3,-50.0,2.0,14.73,True
81.0,11.0,29.0,-8.1,-50.0,2.0,10.59,True
81.0,11.0,29.0,-7.8,-50.0,2.0,9.9,True
81.0,11.0,29.0,-7.6,-50.0,2.0,8.24,True
81.0,11.0,29.0,-7.4,-50.0,2.0,6.85,True
81.0,11.0,29.0,-7.1,-50.0,2.0,8.5,True
81.0,11.0,29.0,-6.9,-50.0,2.0,6.91,True
81.0,11.0,29.0,-6.7,-50.0,2.0,5.23,True
81.0,11.0,29.0,-6.5,-50.0,2.0,5.55,True
81.0,11.0,29.0,-6.3,-50.0,2.0,5.15,True
81.0,11.0,29.0,-6.1,-50.0,2.0,5.7,True
81.0,11.0,29.0,-5.7,-50.0,2.0,18.33,True
81.0,11.0,29.0,-4.9,-50.0,2.0,24.87,True
81.0,11.0,29.0,-4.1,-50.0,2.0,26.9,True
81.0,11.0,29.0,-3.5,-50.0,2.0,26.37,True
81.0,11.0,29.0,-3.0,-50.0,2.0,25.2,True
81.0,11.0,29.0,-2.5,-50.0,2.0,23.64,True
81.0,11.0,29.0,-1.8,-50.0,2.0,24.19,True
81.0,11.0,29.0,-1.0,-50.0,2.0,23.31,True
81.0,11.0,29.0,-0.5,-50.0,2.0,23.19,True
81.0,11.0,29.0,0.1,50.0,2.0,23.58,True
81.0,11.0,29.0,0.8,50.0,2.0,23.19,True
81.0,11.0,29.0,1.3,50.0,2.0,23.67,True
81.0,11.0,29.0,1.8,50.0,2.0,24.03,True
81.0,11.0,29.0,2.5,50.0,2.0,23.93,True
81.0,11.0,29.0,3.2,50.0,2.0,21.32,True
81.0,11.0,29.0,3.6,50.0,2.0,17.96,True
81.0,11.0,29.0,4.0,50.0,2.0,20.0,True
81.0,11.0,29.0,4.5,50.0,2.0,14.12,True
81.0,11.0,29.0,4.9,50.0,2.0,9.51,True
81.0,11.0,29.0,5.0,50.0,2.0,6.36,True
81.0,11.0,29.0,5.0,50.0,2.0,-3.7,True
81.0,11.0,29.0,5.0,50.0,2.0,-1.57,True
81.0,11.0,29.0,4.9,50.0,2.0,-8.47,True
81.0,11.0,29.0,4.8,50.0,2.0,-8.15,True
81.0,11.0,29.0,4.7,50.0,2.0,-6.92,True
81.0,11.0,29.0,4.5,50.0,2.0,-8.74,True
81.0,11.0,29.0,4.4,50.0,2.0,-8.15,True
81.0,11.0,29.0,4.2,50.0,2.0,-9.85,True
81.0,11.0,29.0,4.2,50.0,2.0,-11.47,True
81.0,11.0,29.0,3.9,50.0,2.0,-11.21,True
81.0,11.0,29.0,3.7,50.0,2.0,-10.99,True
81.0,11.0,29.0,3.5,50.0,2.0,-10.88,True
81.0,11.0,29.0,3.2,50.0,2.0,-10.85,True
81.0,11.0,29.0,3.1,50.0,2.0,-10.62,True
81.0,11.0,29.0,2.8,50.0,2.0,-10.69,True
81.0,11.0,29.0,2.6,50.0,2.0,-11.29,True
81.0,11.0,29.0,2.4,50.0,2.0,-11.03,True
81.0,11.0,29.0,2.2,50.0,2.0,-11.1,True
81.0,11.0,29.0,1.9,50.0,2.0,-10.9,True
81.0,11.0,29.0,1.7,50.0,2.0,-11.11,True
81.0,11.0,29.0,1.6,50.0,2.0,-11.11,True
81.0,11.0,29.0,1.4,50.0,2.0,-11.12,True
81.0,11.0,29.0,1.2,50.0,2.0,-11.39,True
81.0,11.0,29.0,1.0,50.0,2.0,-3.57,True
81.0,11.0,29.0,1.1,50.0,2.0,0.66,True
81.0,11.0,29.0,1.1,50.0,2.0,1.08,True
81.0,11.0,29.0,1.1,50.0,2.0,-0.27,True
81.0,11.0,29.0,1.1,50.0,2.0,-2.22,True
81.0,11.0,29.0,1.1,50.0,2.0,-4.91,True
81.0,11.0,29.0,1.0,50.0,2.0,-6.99,True
81.0,11.0,29.0,0.9,50.0,2.0,-8.45,True
81.0,11.0,29.0,0.7,50.0,2.0,-9.51,True
81.0,11.0,29.0,0.5,50.0,2.0,-9.31,True
81.0,11.0,29.0,0.4,50.0,2.0,-9.43,True
81.0,11.0,29.0,0.2,50.0,2.0,-9.49,True
81.0,11.0,29.0,0.1,50.0,2.0,-9.46,True
81.0,11.0,29.0,0.0,-30.37,2.0,-9.32,True
81.0,11.0,29.0,-0.1,-50.0,2.0,-9.43,True
81.0,11.0,29.0,-0.3,-50.0,2.0,-9.34,True
81.0,11.0,29.0,-0.5,-50.0,2.0,-9.39,True
81.0,11.0,29.0,-0.7,-50.0,2.0,-9.4,True
81.0,11.0,29.0,-0.9,-50.0,2.0,-9.34,True
81.0,11.0,29.0,-1.1,-50.0,2.0,-9.59,True
81.0,11.0,29.0,-1.3,-50.0,2.0,-9.69,True
81.0,11.0,29.0,-1.4,-50.0,2.0,-9.71,True
81.0,11.0,29.0,-1.6,-50.0,2.0,-10.12,True
81.0,11.0,29.0,-1.8,-50.0,2.0,-10.35,True
81.0,11.0,29.0,-2.0,-50.0,2.0,-10.3,True
81.0,11.0,29.0,-2.1,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-2.3,-50.0,2.0,-10.54,True
81.0,11.0,29.0,-2.5,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-2.7,-50.0,2.0,-10.41,True
81.0,11.0,29.0,-2.9,-50.0,2.0,-10.37,True
81.0,11.0,29.0,-3.1,-50.0,2.0,-10.36,True
81.0,11.0,29.0,-3.3,-50.0,2.0,-10.29,True
81.0,11.0,29.0,-3.5,-50.0,2.0,-10.31,True
81.0,11.0,29.0,-3.6,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-3.8,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-4.1,-50.0,2.0,-10.6,True
81.0,11.0,29.0,-4.2,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-4.4,-50.0,2.0,-10.36,True
81.0,11.0,29.0,-4.7,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-4.9,-50.0,2.0,-10.37,True
81.0,11.0,29.0,-5.1,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-5.2,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-5.5,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-5.7,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-5.8,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-6.0,-50.0,2.0,-10.4,True
81.0,11.0,29.0,-6.3,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-6.5,-50.0,2.0,-10.31,True
81.0,11.0,29.0,-6.7,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-6.9,-50.0,2.0,-10.36,True
81.0,11.0,29.0,-7.1,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-7.3,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-7.6,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-7.7,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-7.9,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-8.1,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-8.3,-50.0,2.0,-10.37,True
81.0,11.0,29.0,-8.6,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-8.7,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-8.9,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-9.1,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-9.3,-50.0,2.0,-10.39,True
81.0,11.0,29.0,-9.6,-50.0,2.0,-10.39,True
81.0,11.0,29.0,-9.7,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-9.8,-50.0,2.0,-10.58,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.64,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.69,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.31,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.62,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.69,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.58,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.62,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.37,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.39,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.35,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.41,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.38,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.6,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.63,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.36,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.37,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.6,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.62,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.61,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.61,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.64,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.54,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
